rank,combination,n_interior,total_knots,theta_dim,seed,fitness,phi,export_date
1496,5_1_4_5_4,"[5, 1, 4, 5, 4]",25,51,1,3.29374086,5.919581992017293e-9,2026-06-20T13:58:38.430
1497,5_1_3_3_5,"[5, 1, 3, 3, 5]",23,47,1,3.29379716,5.955206249870247e-9,2026-06-21T16:18:46.720
1498,2_1_2_2_5,"[2, 1, 2, 2, 5]",18,37,1,3.2938252,6.021075133301117e-9,2026-06-21T14:51:20.687
1499,3_5_2_5_1,"[3, 5, 2, 5, 1]",22,45,1,3.29384737,5.937367402770419e-9,2026-06-19T18:59:26.712
1500,1_3_2_2_5,"[1, 3, 2, 2, 5]",19,39,1,3.29384762,5.9314330030620284e-9,2026-06-21T14:54:10.972
1501,1_3_1_1_4,"[1, 3, 1, 1, 4]",16,33,1,3.29385773,5.955206249870247e-9,2026-06-20T08:18:19.155
1502,2_2_2_4_5,"[2, 2, 2, 4, 5]",21,43,1,3.29389347,5.895950957626036e-9,2026-06-21T17:15:25.229
1503,5_4_2_5_3,"[5, 4, 2, 5, 3]",25,51,1,3.2939044,5.884170839755366e-9,2026-06-20T07:28:43.655
1504,3_3_5_5_3,"[3, 3, 5, 5, 3]",25,51,1,3.29391299,5.9018498575420515e-9,2026-06-20T08:05:37.081
1505,4_1_2_3_4,"[4, 1, 2, 3, 4]",20,41,1,3.29394404,5.99104489579136e-9,2026-06-20T10:57:21.490
1506,3_2_1_2_2,"[3, 2, 1, 2, 2]",16,33,1,3.29396503,5.955206249870247e-9,2026-06-19T21:00:21.259
1507,2_5_3_3_3,"[2, 5, 3, 3, 3]",22,45,1,3.29409547,5.925504534787157e-9,2026-06-20T05:12:56.108
1508,3_1_1_5_4,"[3, 1, 1, 5, 4]",20,41,1,3.29409993,5.85482341525828e-9,2026-06-20T13:11:11.774
1509,1_2_4_4_2,"[1, 2, 4, 4, 2]",19,39,1,3.29415781,5.9314330030620284e-9,2026-06-20T00:16:57.506
1510,3_4_1_4_1,"[3, 4, 1, 4, 1]",19,39,1,3.2941918,6.0090450171606994e-9,2026-06-19T17:26:14.688
1511,2_1_1_1_5,"[2, 1, 1, 1, 5]",16,33,1,3.29425508,5.9077546593084175e-9,2026-06-21T13:39:34.575
1512,4_3_4_3_3,"[4, 3, 4, 3, 3]",23,47,1,3.29429009,5.9077546593084175e-9,2026-06-20T05:22:20.825
1513,1_3_3_1_2,"[1, 3, 3, 1, 2]",16,33,1,3.29429546,5.9850568454197515e-9,2026-06-19T20:19:25.353
1514,3_2_3_2_2,"[3, 2, 3, 2, 2]",18,37,1,3.2942975,5.973098693866522e-9,2026-06-19T21:30:28.611
1515,1_4_5_2_4,"[1, 4, 5, 2, 4]",22,45,1,3.29431485,5.860681167061301e-9,2026-06-20T10:33:52.357
1516,2_5_3_5_1,"[2, 5, 3, 5, 1]",22,45,1,3.29433934,5.937367402770419e-9,2026-06-19T19:17:21.064
1517,5_5_1_4_2,"[5, 5, 1, 4, 2]",23,47,1,3.29437653,5.9077546593084175e-9,2026-06-19T23:40:32.715
1518,1_5_5_3_4,"[1, 5, 5, 3, 4]",24,49,1,3.29446864,5.925504534787157e-9,2026-06-20T11:53:40.297
1519,5_1_4_5_3,"[5, 1, 4, 5, 3]",24,49,1,3.29448383,6.0150570677021345e-9,2026-06-20T07:50:06.245
1520,2_5_4_1_1,"[2, 5, 4, 1, 1]",19,39,1,3.29450599,5.919581992017293e-9,2026-06-19T14:27:58.844
1521,3_4_1_5_2,"[3, 4, 1, 5, 2]",21,43,1,3.29451456,5.973098693866522e-9,2026-06-20T00:54:26.352
1522,3_4_2_1_4,"[3, 4, 2, 1, 4]",20,41,1,3.29452118,5.925504534787157e-9,2026-06-20T08:37:31.768
1523,1_4_3_4_5,"[1, 4, 3, 4, 5]",23,47,1,3.29453424,5.949254020231208e-9,2026-06-21T17:33:54.691
1524,3_2_4_1_4,"[3, 2, 4, 1, 4]",20,41,1,3.29456639,5.99104489579136e-9,2026-06-20T09:02:19.100
1525,1_5_3_4_3,"[1, 5, 3, 4, 3]",22,45,1,3.2946071,5.872414258575902e-9,2026-06-20T06:24:53.816
1526,4_3_1_5_1,"[4, 3, 1, 5, 1]",20,41,1,3.2946337,5.9314330030620284e-9,2026-06-19T18:45:20.679
1527,2_2_4_4_3,"[2, 2, 4, 4, 3]",21,43,1,3.29464388,5.961164434716032e-9,2026-06-20T06:28:49.611
1528,5_2_2_3_3,"[5, 2, 2, 3, 3]",21,43,1,3.2946578,5.9433077398467066e-9,2026-06-20T04:49:07.924
1529,3_4_2_3_3,"[3, 4, 2, 3, 3]",21,43,1,3.29466408,5.955206249870247e-9,2026-06-20T04:54:21.051
1530,1_5_4_1_2,"[1, 5, 4, 1, 2]",19,39,1,3.29468608,5.872414258575902e-9,2026-06-19T20:43:26.142
1531,3_4_3_5_2,"[3, 4, 3, 5, 2]",23,47,1,3.29469939,5.979074780105508e-9,2026-06-20T01:25:44.900
1532,3_3_5_4_2,"[3, 3, 5, 4, 2]",23,47,1,3.29470276,5.9671285807267275e-9,2026-06-20T00:40:42.722
1533,1_4_4_3_1,"[1, 4, 4, 3, 1]",19,39,1,3.29471106,5.925504534787157e-9,2026-06-19T16:53:28.127
1534,4_2_1_1_2,"[4, 2, 1, 1, 2]",16,33,1,3.29476602,5.949254020231208e-9,2026-06-19T19:49:33.023
1535,5_2_3_1_3,"[5, 2, 3, 1, 3]",20,41,1,3.2948134,5.925504534787157e-9,2026-06-20T02:34:30.079
1536,4_3_3_5_1,"[4, 3, 3, 5, 1]",22,45,1,3.29482931,5.9433077398467066e-9,2026-06-19T19:13:31.798
1537,5_5_4_3_2,"[5, 5, 4, 3, 2]",25,51,1,3.29485247,6.0694369235994405e-9,2026-06-19T23:16:05.861
1538,1_3_5_3_4,"[1, 3, 5, 3, 4]",22,45,1,3.29494127,5.848971518279162e-9,2026-06-20T11:47:59.021
1539,1_2_1_2_1,"[1, 2, 1, 2, 1]",13,27,1,3.29494725,5.9433077398467066e-9,2026-06-19T14:54:41.222
1540,5_4_3_2_5,"[5, 4, 3, 2, 5]",25,51,1,3.29497222,5.9850568454197515e-9,2026-06-21T15:15:19.854
1541,4_3_1_1_1,"[4, 3, 1, 1, 1]",16,33,1,3.29497231,6.0090450171606994e-9,2026-06-19T13:57:13.116
1542,3_2_1_1_2,"[3, 2, 1, 1, 2]",15,31,1,3.29498053,5.9850568454197515e-9,2026-06-19T19:48:57.564
1543,5_4_2_4_3,"[5, 4, 2, 4, 3]",24,49,1,3.29499175,5.9433077398467066e-9,2026-06-20T06:10:58.890
1544,1_3_2_5_3,"[1, 3, 2, 5, 3]",20,41,1,3.29499869,5.949254020231208e-9,2026-06-20T07:22:16.720
1545,1_4_2_3_3,"[1, 4, 2, 3, 3]",19,39,1,3.29501428,6.027099219975755e-9,2026-06-20T04:53:00.745
1546,4_4_4_5_2,"[4, 4, 4, 5, 2]",25,51,1,3.29507085,5.961164434716032e-9,2026-06-20T01:43:55.440
1547,1_4_3_1_4,"[1, 4, 3, 1, 4]",19,39,1,3.29510623,5.937367402770419e-9,2026-06-20T08:50:56.087
1548,4_2_1_4_3,"[4, 2, 1, 4, 3]",20,41,1,3.29512748,5.99104489579136e-9,2026-06-20T05:48:30.095
1549,1_1_5_3_5,"[1, 1, 5, 3, 5]",21,43,1,3.2951772,5.866544779545957e-9,2026-06-21T16:45:10.443
1550,4_4_4_4_5,"[4, 4, 4, 4, 5]",27,55,1,3.29529002,5.973098693866522e-9,2026-06-21T17:52:09.118
1551,1_2_5_5_2,"[1, 2, 5, 5, 2]",21,43,1,3.29531834,5.9671285807267275e-9,2026-06-20T01:44:01.613
1552,2_5_2_5_4,"[2, 5, 2, 5, 4]",24,49,1,3.29534942,5.9314330030620284e-9,2026-06-20T13:38:01.712
1553,5_4_5_4_5,"[5, 4, 5, 4, 5]",29,59,1,3.29535068,5.9671285807267275e-9,2026-06-21T18:05:58.499
1554,2_4_4_2_4,"[2, 4, 4, 2, 4]",22,45,1,3.29536549,5.9077546593084175e-9,2026-06-20T10:22:22.819
1555,2_5_5_3_1,"[2, 5, 5, 3, 1]",22,45,1,3.29539477,5.949254020231208e-9,2026-06-19T17:17:12.500
1556,5_5_1_5_2,"[5, 5, 1, 5, 2]",24,49,1,3.29540354,6.003038975664783e-9,2026-06-20T00:59:51.216
1557,1_4_2_2_4,"[1, 4, 2, 2, 4]",19,39,1,3.29548405,5.895950957626036e-9,2026-06-20T09:46:31.892
1558,2_3_4_3_1,"[2, 3, 4, 3, 1]",19,39,1,3.29548609,5.9671285807267275e-9,2026-06-19T16:51:37.538
1559,2_1_2_3_4,"[2, 1, 2, 3, 4]",18,37,1,3.29550797,5.9077546593084175e-9,2026-06-20T10:54:41.834
1560,3_5_5_3_2,"[3, 5, 5, 3, 2]",24,49,1,3.29551194,5.997038937208364e-9,2026-06-19T23:24:47.512
1561,3_5_3_3_3,"[3, 5, 3, 3, 3]",23,47,1,3.29552653,5.913665368829914e-9,2026-06-20T05:11:37.134
1562,2_4_1_5_2,"[2, 4, 1, 5, 2]",20,41,1,3.29554876,5.9077546593084175e-9,2026-06-20T00:53:12.316
1563,1_3_3_5_4,"[1, 3, 3, 5, 4]",22,45,1,3.29555047,5.9077546593084175e-9,2026-06-20T13:47:41.486
1564,1_2_2_2_3,"[1, 2, 2, 2, 3]",16,33,1,3.2956796,5.937367402770419e-9,2026-06-20T03:27:41.598
1565,1_5_1_3_2,"[1, 5, 1, 3, 2]",18,37,1,3.29570101,5.895950957626036e-9,2026-06-19T22:21:30.056
1566,3_1_4_3_4,"[3, 1, 4, 3, 4]",21,43,1,3.29570642,5.955206249870247e-9,2026-06-20T11:22:40.743
1567,2_5_3_1_3,"[2, 5, 3, 1, 3]",20,41,1,3.29573723,5.9018498575420515e-9,2026-06-20T02:40:28.047
1568,5_1_5_3_4,"[5, 1, 5, 3, 4]",24,49,1,3.29575861,5.9671285807267275e-9,2026-06-20T11:43:09.146
1569,3_5_4_2_1,"[3, 5, 4, 2, 1]",21,43,1,3.29579186,5.99104489579136e-9,2026-06-19T15:52:35.256
1570,5_5_4_4_2,"[5, 5, 4, 4, 2]",26,53,1,3.29579199,5.973098693866522e-9,2026-06-20T00:27:38.253
1571,3_2_3_3_4,"[3, 2, 3, 3, 4]",21,43,1,3.29579665,5.961164434716032e-9,2026-06-20T11:14:37.937
1572,4_3_3_5_3,"[4, 3, 3, 5, 3]",24,49,1,3.29586214,5.937367402770419e-9,2026-06-20T07:32:52.038
1573,4_1_2_4_1,"[4, 1, 2, 4, 1]",18,37,1,3.29587312,5.913665368829914e-9,2026-06-19T17:33:24.426
1574,3_3_4_5_5,"[3, 3, 4, 5, 5]",26,53,1,3.2959634,5.884170839755366e-9,2026-06-21T18:56:25.930
1575,4_2_2_1_3,"[4, 2, 2, 1, 3]",18,37,1,3.29599456,5.9077546593084175e-9,2026-06-20T02:19:33.893
1576,2_2_5_3_5,"[2, 2, 5, 3, 5]",23,47,1,3.29599963,5.9314330030620284e-9,2026-06-21T16:46:22.934
1577,4_4_2_1_3,"[4, 4, 2, 1, 3]",20,41,1,3.29604164,5.955206249870247e-9,2026-06-20T02:26:42.255
1578,4_4_1_5_5,"[4, 4, 1, 5, 5]",25,51,1,3.29606049,6.0150570677021345e-9,2026-06-21T18:22:46.216
1579,2_3_5_2_3,"[2, 3, 5, 2, 3]",21,43,1,3.29606557,5.9314330030620284e-9,2026-06-20T04:15:35.880
1580,3_4_1_4_4,"[3, 4, 1, 4, 4]",22,45,1,3.29608255,5.997038937208364e-9,2026-06-20T12:06:19.444
1581,1_5_5_4_1,"[1, 5, 5, 4, 1]",22,45,1,3.29609576,5.866544779545957e-9,2026-06-19T18:27:13.338
1582,2_1_4_1_1,"[2, 1, 4, 1, 1]",15,31,1,3.29614129,6.021075133301117e-9,2026-06-19T14:25:40.839
1583,4_5_3_5_2,"[4, 5, 3, 5, 2]",25,51,1,3.29616054,5.997038937208364e-9,2026-06-20T01:31:10.897
1584,3_3_5_4_3,"[3, 3, 5, 4, 3]",24,49,1,3.29617079,5.9671285807267275e-9,2026-06-20T06:54:35.025
1585,4_1_1_3_3,"[4, 1, 1, 3, 3]",18,37,1,3.29617909,5.85482341525828e-9,2026-06-20T04:28:14.281
1586,5_3_4_4_4,"[5, 3, 4, 4, 4]",26,53,1,3.29624791,5.973098693866522e-9,2026-06-20T12:53:48.551
1587,5_1_2_1_4,"[5, 1, 2, 1, 4]",19,39,1,3.29625614,5.890057953661489e-9,2026-06-20T08:32:46.968
1588,2_3_2_2_1,"[2, 3, 2, 2, 1]",16,33,1,3.29628847,5.949254020231208e-9,2026-06-19T15:17:52.850
1589,5_4_1_4_2,"[5, 4, 1, 4, 2]",22,45,1,3.29631378,5.895950957626036e-9,2026-06-19T23:38:23.345
1590,3_2_1_2_3,"[3, 2, 1, 2, 3]",17,35,1,3.29633703,5.949254020231208e-9,2026-06-20T03:16:15.350
1591,2_5_5_1_3,"[2, 5, 5, 1, 3]",22,45,1,3.2963686,5.895950957626036e-9,2026-06-20T03:08:57.599
1592,4_3_1_2_2,"[4, 3, 1, 2, 2]",18,37,1,3.29638076,5.955206249870247e-9,2026-06-19T21:07:04.482
1593,5_5_5_1_5,"[5, 5, 5, 1, 5]",27,55,1,3.29639229,6.0150570677021345e-9,2026-06-21T14:31:50.633
1594,3_1_4_4_2,"[3, 1, 4, 4, 2]",20,41,1,3.29640611,6.0090450171606994e-9,2026-06-20T00:15:08.223
1595,3_3_1_4_4,"[3, 3, 1, 4, 4]",21,43,1,3.29640679,5.925504534787157e-9,2026-06-20T12:04:32.312
1596,5_5_4_2_1,"[5, 5, 4, 2, 1]",23,47,1,3.29642,6.039165480654292e-9,2026-06-19T15:50:30.813
1597,5_4_2_3_2,"[5, 4, 2, 3, 2]",22,45,1,3.29643553,6.045207666724473e-9,2026-06-19T22:44:26.098
1598,5_4_3_5_2,"[5, 4, 3, 5, 2]",25,51,1,3.2964365,5.9671285807267275e-9,2026-06-20T01:27:13.486
1599,3_5_5_4_3,"[3, 5, 5, 4, 3]",26,53,1,3.29643792,6.0150570677021345e-9,2026-06-20T06:59:54.089
1600,5_3_2_2_2,"[5, 3, 2, 2, 2]",20,41,1,3.2965061,5.872414258575902e-9,2026-06-19T21:22:19.229
1601,5_2_1_2_3,"[5, 2, 1, 2, 3]",19,39,1,3.29651539,5.9433077398467066e-9,2026-06-20T03:19:25.269
1602,2_2_4_2_5,"[2, 2, 4, 2, 5]",21,43,1,3.29655175,6.438308413788413e-9,2026-06-21T15:20:53.242
1603,1_1_3_5_1,"[1, 1, 3, 5, 1]",17,35,1,3.29656758,5.895950957626036e-9,2026-06-19T18:59:53.149
1604,2_4_3_4_3,"[2, 4, 3, 4, 3]",22,45,1,3.29657028,5.99104489579136e-9,2026-06-20T06:26:30.384
1605,2_3_3_2_2,"[2, 3, 3, 2, 2]",18,37,1,3.2966204,5.831450897795513e-9,2026-06-19T21:34:30.844
1606,3_4_5_5_5,"[3, 4, 5, 5, 5]",28,57,1,3.29664564,5.9433077398467066e-9,2026-06-21T19:17:39.936
1607,2_4_3_3_2,"[2, 4, 3, 3, 2]",20,41,1,3.29665473,5.895950957626036e-9,2026-06-19T22:51:16.431
1608,5_5_2_1_4,"[5, 5, 2, 1, 4]",23,47,1,3.29667331,5.9433077398467066e-9,2026-06-20T08:46:33.936
1609,4_2_1_4_5,"[4, 2, 1, 4, 5]",22,45,1,3.2966782,6.0090450171606994e-9,2026-06-21T17:09:04.648
1610,3_3_5_3_5,"[3, 3, 5, 3, 5]",25,51,1,3.2967275,5.9433077398467066e-9,2026-06-21T16:44:26.225
1611,3_4_1_1_4,"[3, 4, 1, 1, 4]",19,39,1,3.29673405,5.9314330030620284e-9,2026-06-20T08:28:16.537
1612,1_5_3_3_1,"[1, 5, 3, 3, 1]",19,39,1,3.29674312,5.9433077398467066e-9,2026-06-19T16:45:20.930
1613,5_5_2_4_2,"[5, 5, 2, 4, 2]",24,49,1,3.29677921,5.99104489579136e-9,2026-06-19T23:56:37.242
1614,4_1_2_4_3,"[4, 1, 2, 4, 3]",20,41,1,3.29680492,5.99104489579136e-9,2026-06-20T05:58:08.556
1615,1_4_1_3_5,"[1, 4, 1, 3, 5]",20,41,1,3.29680957,5.925504534787157e-9,2026-06-21T15:47:27.165
1616,4_5_3_4_3,"[4, 5, 3, 4, 3]",25,51,1,3.29681248,5.997038937208364e-9,2026-06-20T06:29:05.182
1617,3_1_4_4_1,"[3, 1, 4, 4, 1]",19,39,1,3.2968557,5.9018498575420515e-9,2026-06-19T18:01:07.257
1618,5_5_4_3_3,"[5, 5, 4, 3, 3]",26,53,1,3.29688848,5.884170839755366e-9,2026-06-20T05:29:35.637
1619,3_2_3_2_1,"[3, 2, 3, 2, 1]",17,35,1,3.29693721,5.973098693866522e-9,2026-06-19T15:20:27.564
1620,1_1_1_4_4,"[1, 1, 1, 4, 4]",17,35,1,3.29695036,5.99104489579136e-9,2026-06-20T11:53:37.838
1621,2_4_1_2_2,"[2, 4, 1, 2, 2]",17,35,1,3.2969772,5.895950957626036e-9,2026-06-19T21:11:32.080
1622,3_5_4_1_4,"[3, 5, 4, 1, 4]",23,47,1,3.29703036,5.884170839755366e-9,2026-06-20T09:15:04.025
1623,5_1_4_1_3,"[5, 1, 4, 1, 3]",20,41,1,3.29707154,5.913665368829914e-9,2026-06-20T02:46:51.556
1624,3_5_5_1_4,"[3, 5, 5, 1, 4]",24,49,1,3.29710969,5.9850568454197515e-9,2026-06-20T09:23:24.045
1625,4_4_1_4_5,"[4, 4, 1, 4, 5]",24,49,1,3.29716774,6.033129333750116e-9,2026-06-21T17:12:52.208
1626,5_4_5_4_4,"[5, 4, 5, 4, 4]",28,57,1,3.29724994,5.973098693866522e-9,2026-06-20T13:06:19.598
1627,3_5_5_5_1,"[3, 5, 5, 5, 1]",25,51,1,3.29725542,5.9850568454197515e-9,2026-06-19T19:47:19.035
1628,1_4_3_5_5,"[1, 4, 3, 5, 5]",24,49,1,3.29726268,5.9314330030620284e-9,2026-06-21T18:46:06.821
1629,1_2_3_2_5,"[1, 2, 3, 2, 5]",19,39,1,3.29727056,5.9314330030620284e-9,2026-06-21T15:07:14.502
1630,2_5_2_3_1,"[2, 5, 2, 3, 1]",19,39,1,3.29727303,5.884170839755366e-9,2026-06-19T16:25:45.067
1631,3_2_5_5_1,"[3, 2, 5, 5, 1]",22,45,1,3.29728611,5.9018498575420515e-9,2026-06-19T19:39:11.605
1632,1_5_4_4_5,"[1, 5, 4, 4, 5]",25,51,1,3.29730018,5.913665368829914e-9,2026-06-21T17:53:04.008
1633,3_3_3_5_3,"[3, 3, 3, 5, 3]",23,47,1,3.29734189,5.9671285807267275e-9,2026-06-20T07:36:01.301
1634,2_3_4_1_5,"[2, 3, 4, 1, 5]",21,43,1,3.29734463,5.973098693866522e-9,2026-06-21T14:10:53.222
1635,5_3_4_5_3,"[5, 3, 4, 5, 3]",26,53,1,3.29741765,5.9314330030620284e-9,2026-06-20T07:57:36.406
1636,2_1_5_4_1,"[2, 1, 5, 4, 1]",19,39,1,3.297422,5.949254020231208e-9,2026-06-19T18:15:43.500
1637,1_2_2_1_2,"[1, 2, 2, 1, 2]",14,29,1,3.29746624,5.872414258575902e-9,2026-06-19T20:02:31.122
1638,2_1_2_1_5,"[2, 1, 2, 1, 5]",17,35,1,3.29749991,5.9077546593084175e-9,2026-06-21T13:40:03.844
1639,5_5_5_3_5,"[5, 5, 5, 3, 5]",29,59,1,3.29750762,5.955206249870247e-9,2026-06-21T16:59:41.759
1640,5_3_2_4_1,"[5, 3, 2, 4, 1]",21,43,1,3.29751638,5.955206249870247e-9,2026-06-19T17:45:43.222
1641,4_5_2_1_4,"[4, 5, 2, 1, 4]",22,45,1,3.29753928,5.878289610020574e-9,2026-06-20T08:46:41.017
1642,2_3_3_1_1,"[2, 3, 3, 1, 1]",16,33,1,3.29755653,5.9314330030620284e-9,2026-06-19T14:24:13.736
1643,2_3_2_1_5,"[2, 3, 2, 1, 5]",19,39,1,3.2976206,5.890057953661489e-9,2026-06-21T13:41:30.516
1644,3_4_2_1_5,"[3, 4, 2, 1, 5]",21,43,1,3.29765775,5.973098693866522e-9,2026-06-21T13:37:27.461
1645,4_4_1_3_1,"[4, 4, 1, 3, 1]",19,39,1,3.29767641,5.949254020231208e-9,2026-06-19T16:17:33.433
1646,3_2_5_1_5,"[3, 2, 5, 1, 5]",22,45,1,3.29768983,5.997038937208364e-9,2026-06-21T14:27:35.346
1647,2_3_4_1_3,"[2, 3, 4, 1, 3]",19,39,1,3.29771082,5.843125470272071e-9,2026-06-20T02:50:02.161
1648,4_2_5_5_1,"[4, 2, 5, 5, 1]",23,47,1,3.2977537,5.9433077398467066e-9,2026-06-19T19:33:40.509
1649,1_4_4_5_2,"[1, 4, 4, 5, 2]",22,45,1,3.29778966,5.961164434716032e-9,2026-06-20T01:40:48.469
1650,4_4_2_2_2,"[4, 4, 2, 2, 2]",20,41,1,3.29779706,5.99104489579136e-9,2026-06-19T21:23:59.067
1651,5_4_3_5_1,"[5, 4, 3, 5, 1]",24,49,1,3.29782289,5.884170839755366e-9,2026-06-19T19:14:54.539
1652,5_1_5_1_1,"[5, 1, 5, 1, 1]",19,39,1,3.29783555,5.949254020231208e-9,2026-06-19T14:50:26.863
1653,1_3_1_5_3,"[1, 3, 1, 5, 3]",19,39,1,3.29788472,5.955206249870247e-9,2026-06-20T07:04:30
1654,5_2_1_4_1,"[5, 2, 1, 4, 1]",19,39,1,3.29789914,5.9671285807267275e-9,2026-06-19T17:21:59.912
1655,3_4_1_3_2,"[3, 4, 1, 3, 2]",19,39,1,3.29791922,5.9433077398467066e-9,2026-06-19T22:21:14.739
1656,3_4_5_4_2,"[3, 4, 5, 4, 2]",24,49,1,3.29796402,6.021075133301117e-9,2026-06-20T00:44:09.582
1657,3_1_4_1_3,"[3, 1, 4, 1, 3]",18,37,1,3.2979676,5.961164434716032e-9,2026-06-20T02:43:46.276
1658,5_2_2_5_2,"[5, 2, 2, 5, 2]",22,45,1,3.29803623,5.99104489579136e-9,2026-06-20T01:06:09.555
1659,5_4_1_5_5,"[5, 4, 1, 5, 5]",26,53,1,3.29804833,5.937367402770419e-9,2026-06-21T18:24:02.559
1660,2_1_1_2_1,"[2, 1, 1, 2, 1]",13,27,1,3.29806501,5.979074780105508e-9,2026-06-19T14:53:01.887
1661,2_2_4_2_2,"[2, 2, 4, 2, 2]",18,37,1,3.29806966,5.955206249870247e-9,2026-06-19T21:46:23.344
1662,2_3_1_1_2,"[2, 3, 1, 1, 2]",15,31,1,3.29809171,5.8139827604093064e-9,2026-06-19T19:49:27.070
1663,2_1_3_4_4,"[2, 1, 3, 4, 4]",20,41,1,3.29811446,5.937367402770419e-9,2026-06-20T12:24:51.619
1664,3_2_5_5_3,"[3, 2, 5, 5, 3]",24,49,1,3.29815135,5.955206249870247e-9,2026-06-20T07:59:54.828
1665,1_1_2_4_4,"[1, 1, 2, 4, 4]",18,37,1,3.2981594,5.919581992017293e-9,2026-06-20T12:07:48.885
1666,3_2_1_5_2,"[3, 2, 1, 5, 2]",19,39,1,3.29819632,5.99104489579136e-9,2026-06-20T00:47:21.007
1667,4_1_5_3_1,"[4, 1, 5, 3, 1]",20,41,1,3.29827465,5.9850568454197515e-9,2026-06-19T17:08:00.276
1668,3_5_1_2_3,"[3, 5, 1, 2, 3]",20,41,1,3.29829595,5.895950957626036e-9,2026-06-20T03:27:06.708
1669,2_5_1_3_1,"[2, 5, 1, 3, 1]",18,37,1,3.29832118,5.937367402770419e-9,2026-06-19T16:14:03.940
1670,3_5_4_4_2,"[3, 5, 4, 4, 2]",24,49,1,3.29837139,5.955206249870247e-9,2026-06-20T00:22:52.789
1671,3_1_5_1_3,"[3, 1, 5, 1, 3]",19,39,1,3.29839726,5.9018498575420515e-9,2026-06-20T02:56:50.614
1672,1_2_3_2_2,"[1, 2, 3, 2, 2]",16,33,1,3.29840365,5.866544779545957e-9,2026-06-19T21:23:48.103
1673,1_4_3_4_3,"[1, 4, 3, 4, 3]",21,43,1,3.29840498,5.973098693866522e-9,2026-06-20T06:23:33.822
1674,5_4_4_4_2,"[5, 4, 4, 4, 2]",25,51,1,3.29842197,5.979074780105508e-9,2026-06-20T00:28:18.435
1675,1_3_2_4_4,"[1, 3, 2, 4, 4]",20,41,1,3.29842556,5.937367402770419e-9,2026-06-20T12:18:03.763
1676,5_5_5_4_2,"[5, 5, 5, 4, 2]",27,55,1,3.29843762,5.9671285807267275e-9,2026-06-20T00:47:58.079
1677,1_4_3_2_1,"[1, 4, 3, 2, 1]",17,35,1,3.29845516,5.9018498575420515e-9,2026-06-19T15:22:43.894
1678,2_5_3_1_5,"[2, 5, 3, 1, 5]",22,45,1,3.29847802,5.890057953661489e-9,2026-06-21T14:03:42
1679,4_1_2_1_4,"[4, 1, 2, 1, 4]",18,37,1,3.29855523,5.9850568454197515e-9,2026-06-20T08:29:39.850
1680,4_2_5_5_3,"[4, 2, 5, 5, 3]",25,51,1,3.29857597,5.955206249870247e-9,2026-06-20T08:05:01.815
1681,2_2_1_1_5,"[2, 2, 1, 1, 5]",17,35,1,3.29858397,5.884170839755366e-9,2026-06-21T13:35:16.034
1682,4_3_4_1_3,"[4, 3, 4, 1, 3]",21,43,1,3.29863932,5.9314330030620284e-9,2026-06-20T02:54:10.131
1683,4_2_5_3_5,"[4, 2, 5, 3, 5]",25,51,1,3.29871194,5.819799651130342e-9,2026-06-21T16:47:41.742
1684,4_4_4_2_1,"[4, 4, 4, 2, 1]",21,43,1,3.29872414,5.895950957626036e-9,2026-06-19T15:47:52.827
1685,1_2_4_4_3,"[1, 2, 4, 4, 3]",20,41,1,3.29872619,5.913665368829914e-9,2026-06-20T06:27:59.077
1686,3_3_3_1_4,"[3, 3, 3, 1, 4]",20,41,1,3.29879457,5.973098693866522e-9,2026-06-20T08:50:50.571
1687,5_2_4_2_2,"[5, 2, 4, 2, 2]",21,43,1,3.29880301,5.997038937208364e-9,2026-06-19T21:49:51.494
1688,2_3_4_5_5,"[2, 3, 4, 5, 5]",25,51,1,3.298809,5.9018498575420515e-9,2026-06-21T18:54:51.028
1689,2_1_1_2_4,"[2, 1, 1, 2, 4]",16,33,1,3.29890579,5.848971518279162e-9,2026-06-20T09:26:44.185
1690,5_3_2_1_1,"[5, 3, 2, 1, 1]",18,37,1,3.29896158,5.9077546593084175e-9,2026-06-19T13:58:16.051
1691,1_4_4_1_1,"[1, 4, 4, 1, 1]",17,35,1,3.2989726,5.913665368829914e-9,2026-06-19T14:24:48.805
1692,5_5_5_1_3,"[5, 5, 5, 1, 3]",25,51,1,3.29899257,5.913665368829914e-9,2026-06-20T03:11:36.008
1693,2_5_2_3_2,"[2, 5, 2, 3, 2]",20,41,1,3.2990364,5.9433077398467066e-9,2026-06-19T22:43:13.434
1694,4_5_5_2_4,"[4, 5, 5, 2, 4]",26,53,1,3.29903839,5.85482341525828e-9,2026-06-20T10:39:32.726
1695,2_4_2_2_1,"[2, 4, 2, 2, 1]",17,35,1,3.29904086,5.961164434716032e-9,2026-06-19T15:17:42.090
1696,3_3_5_1_3,"[3, 3, 5, 1, 3]",21,43,1,3.29910645,5.9433077398467066e-9,2026-06-20T03:05:29.240
1697,4_1_5_2_4,"[4, 1, 5, 2, 4]",22,45,1,3.29915474,5.9314330030620284e-9,2026-06-20T10:28:33.206
1698,4_5_3_1_4,"[4, 5, 3, 1, 4]",23,47,1,3.29921161,5.99104489579136e-9,2026-06-20T08:59:58.353
1699,3_2_5_1_2,"[3, 2, 5, 1, 2]",19,39,1,3.29922429,6.003038975664783e-9,2026-06-19T20:48:34.184
