rank,combination,n_interior,total_knots,theta_dim,seed,fitness,phi,export_date
75,3_5_3_4_1,"[3, 5, 3, 4, 1]",22,45,1,3.23268912,5.925504534787157e-9,2026-06-19T17:55:18.596
76,2_5_5_3_5,"[2, 5, 5, 3, 5]",26,53,1,3.23273174,5.9671285807267275e-9,2026-06-21T16:50:44.213
77,5_2_5_4_5,"[5, 2, 5, 4, 5]",27,55,1,3.23317225,5.779203306546736e-9,2026-06-21T18:00:45.835
78,2_3_1_2_5,"[2, 3, 1, 2, 5]",19,39,1,3.23349473,5.919581992017293e-9,2026-06-21T14:38:46.062
79,5_3_1_1_5,"[5, 3, 1, 1, 5]",21,43,1,3.23359918,5.872414258575902e-9,2026-06-21T13:37:09.693
80,4_3_5_5_3,"[4, 3, 5, 5, 3]",26,53,1,3.23401535,6.0090450171606994e-9,2026-06-20T08:02:05.836
81,1_5_4_4_3,"[1, 5, 4, 4, 3]",23,47,1,3.23445949,5.895950957626036e-9,2026-06-20T06:37:12.968
82,4_2_1_5_3,"[4, 2, 1, 5, 3]",21,43,1,3.23474244,5.9433077398467066e-9,2026-06-20T07:04:15.544
83,5_5_1_3_3,"[5, 5, 1, 3, 3]",23,47,1,3.23482923,5.937367402770419e-9,2026-06-20T04:42:57.336
84,4_3_4_3_4,"[4, 3, 4, 3, 4]",24,49,1,3.2349419,5.9850568454197515e-9,2026-06-20T11:33:34.163
85,3_5_1_1_5,"[3, 5, 1, 1, 5]",21,43,1,3.23499182,6.021075133301117e-9,2026-06-21T13:41:05.524
86,5_3_3_5_5,"[5, 3, 3, 5, 5]",27,55,1,3.23526413,5.919581992017293e-9,2026-06-21T18:50:34.092
87,2_3_1_2_4,"[2, 3, 1, 2, 4]",18,37,1,3.23547395,5.9671285807267275e-9,2026-06-20T09:32:30.868
88,2_5_4_2_3,"[2, 5, 4, 2, 3]",22,45,1,3.23548856,5.937367402770419e-9,2026-06-20T04:10:27.076
89,5_4_2_5_5,"[5, 4, 2, 5, 5]",27,55,1,3.23552445,5.9433077398467066e-9,2026-06-21T18:38:13.653
90,3_4_1_4_5,"[3, 4, 1, 4, 5]",23,47,1,3.23566085,6.003038975664783e-9,2026-06-21T17:07:45.705
91,4_5_5_5_1,"[4, 5, 5, 5, 1]",26,53,1,3.23591687,5.913665368829914e-9,2026-06-19T19:50:09.700
92,2_5_4_5_4,"[2, 5, 4, 5, 4]",26,53,1,3.23600914,5.919581992017293e-9,2026-06-20T14:07:06.629
93,1_4_5_4_4,"[1, 4, 5, 4, 4]",24,49,1,3.23612526,5.925504534787157e-9,2026-06-20T13:05:47.240
94,2_3_1_5_3,"[2, 3, 1, 5, 3]",20,41,1,3.23639338,5.937367402770419e-9,2026-06-20T07:04:39.804
95,3_1_4_4_4,"[3, 1, 4, 4, 4]",22,45,1,3.23639988,5.925504534787157e-9,2026-06-20T12:37:05.752
96,3_5_3_2_3,"[3, 5, 3, 2, 3]",22,45,1,3.23654334,5.8372852653909166e-9,2026-06-20T03:57:58.691
97,5_3_2_4_4,"[5, 3, 2, 4, 4]",24,49,1,3.23663595,5.961164434716032e-9,2026-06-20T12:22:43.436
98,5_5_4_1_4,"[5, 5, 4, 1, 4]",25,51,1,3.23721326,6.027099219975755e-9,2026-06-20T09:17:58.770
99,4_3_5_1_3,"[4, 3, 5, 1, 3]",22,45,1,3.23742252,5.878289610020574e-9,2026-06-20T03:04:35.985
100,1_4_4_3_3,"[1, 4, 4, 3, 3]",21,43,1,3.23752209,5.919581992017293e-9,2026-06-20T05:19:38.856
101,3_4_4_5_3,"[3, 4, 4, 5, 3]",25,51,1,3.23755067,5.949254020231208e-9,2026-06-20T07:58:55.792
102,3_3_2_1_4,"[3, 3, 2, 1, 4]",19,39,1,3.23765057,6.003038975664783e-9,2026-06-20T08:31:15.505
103,4_5_2_2_4,"[4, 5, 2, 2, 4]",23,47,1,3.23767476,5.99104489579136e-9,2026-06-20T09:58:12.198
104,3_1_5_4_1,"[3, 1, 5, 4, 1]",20,41,1,3.23788832,5.949254020231208e-9,2026-06-19T18:18:29.729
105,4_2_5_2_3,"[4, 2, 5, 2, 3]",22,45,1,3.23806576,5.937367402770419e-9,2026-06-20T04:18:52.110
106,5_3_1_4_4,"[5, 3, 1, 4, 4]",23,47,1,3.23809407,5.9433077398467066e-9,2026-06-20T12:04:28.827
107,5_4_1_5_2,"[5, 4, 1, 5, 2]",23,47,1,3.23812406,5.949254020231208e-9,2026-06-20T00:56:21.114
108,3_4_4_4_4,"[3, 4, 4, 4, 4]",25,51,1,3.23841471,5.895950957626036e-9,2026-06-20T12:55:07.028
109,4_2_4_2_5,"[4, 2, 4, 2, 5]",23,47,1,3.23864841,5.843125470272071e-9,2026-06-21T15:20:58.438
110,2_5_5_4_5,"[2, 5, 5, 4, 5]",27,55,1,3.23869042,5.979074780105508e-9,2026-06-21T18:08:15.256
111,5_2_5_1_4,"[5, 2, 5, 1, 4]",23,47,1,3.23870211,5.937367402770419e-9,2026-06-20T09:20:28.228
112,4_2_5_1_5,"[4, 2, 5, 1, 5]",23,47,1,3.23871938,5.9077546593084175e-9,2026-06-21T14:28:52.830
113,5_4_1_4_1,"[5, 4, 1, 4, 1]",21,43,1,3.23876556,5.949254020231208e-9,2026-06-19T17:27:45.868
114,5_2_1_3_3,"[5, 2, 1, 3, 3]",20,41,1,3.2391507,5.979074780105508e-9,2026-06-20T04:27:26.233
115,2_4_1_5_1,"[2, 4, 1, 5, 1]",19,39,1,3.23915815,5.890057953661489e-9,2026-06-19T18:45:03.719
116,5_5_1_3_4,"[5, 5, 1, 3, 4]",24,49,1,3.23935035,5.895950957626036e-9,2026-06-20T10:54:54.323
117,2_1_5_2_3,"[2, 1, 5, 2, 3]",19,39,1,3.23982069,5.919581992017293e-9,2026-06-20T04:12:04.189
118,5_4_1_3_4,"[5, 4, 1, 3, 4]",23,47,1,3.23994033,5.9433077398467066e-9,2026-06-20T10:51:37.457
119,5_3_1_3_5,"[5, 3, 1, 3, 5]",23,47,1,3.24000997,5.955206249870247e-9,2026-06-21T15:49:16.793
120,2_3_1_4_3,"[2, 3, 1, 4, 3]",19,39,1,3.24012535,5.955206249870247e-9,2026-06-20T05:50:47.932
121,5_5_2_2_4,"[5, 5, 2, 2, 4]",24,49,1,3.24017674,5.878289610020574e-9,2026-06-20T10:00:20.145
122,3_1_4_5_5,"[3, 1, 4, 5, 5]",24,49,1,3.24030278,5.895950957626036e-9,2026-06-21T18:49:49.910
123,3_2_1_4_5,"[3, 2, 1, 4, 5]",21,43,1,3.24037776,5.979074780105508e-9,2026-06-21T17:04:51.989
124,5_5_3_4_4,"[5, 5, 3, 4, 4]",27,55,1,3.24042603,5.973098693866522e-9,2026-06-20T12:40:25.016
125,4_3_2_5_5,"[4, 3, 2, 5, 5]",25,51,1,3.24063864,5.9314330030620284e-9,2026-06-21T18:28:25.333
126,2_5_1_4_4,"[2, 5, 1, 4, 4]",22,45,1,3.24074474,5.9314330030620284e-9,2026-06-20T12:08:16.226
127,4_4_2_3_5,"[4, 4, 2, 3, 5]",24,49,1,3.24085427,5.9850568454197515e-9,2026-06-21T16:15:37.867
128,4_3_3_5_4,"[4, 3, 3, 5, 4]",25,51,1,3.24085687,5.913665368829914e-9,2026-06-20T13:53:23.587
129,3_4_3_2_2,"[3, 4, 3, 2, 2]",20,41,1,3.24114137,6.039165480654292e-9,2026-06-19T21:42:01.522
130,3_5_1_2_2,"[3, 5, 1, 2, 2]",19,39,1,3.24130442,5.872414258575902e-9,2026-06-19T21:15:44.658
131,3_3_1_4_3,"[3, 3, 1, 4, 3]",20,41,1,3.24137222,5.925504534787157e-9,2026-06-20T05:50:40.673
132,1_2_1_1_4,"[1, 2, 1, 1, 4]",15,31,1,3.24149111,5.890057953661489e-9,2026-06-20T08:16:46.081
133,5_2_5_5_4,"[5, 2, 5, 5, 4]",27,55,1,3.24156217,5.949254020231208e-9,2026-06-20T14:12:04.111
134,2_3_2_3_5,"[2, 3, 2, 3, 5]",21,43,1,3.24194041,5.9671285807267275e-9,2026-06-21T16:12:49.423
135,2_3_1_3_5,"[2, 3, 1, 3, 5]",20,41,1,3.24199417,5.919581992017293e-9,2026-06-21T15:47:26.472
136,1_2_4_3_5,"[1, 2, 4, 3, 5]",21,43,1,3.24202939,5.884170839755366e-9,2026-06-21T16:38:01.468
137,3_3_5_1_2,"[3, 3, 5, 1, 2]",20,41,1,3.24206928,5.949254020231208e-9,2026-06-19T20:48:13.588
138,2_3_1_4_4,"[2, 3, 1, 4, 4]",20,41,1,3.24210773,5.99104489579136e-9,2026-06-20T11:58:05.698
139,3_3_1_1_3,"[3, 3, 1, 1, 3]",17,35,1,3.24243039,5.925504534787157e-9,2026-06-20T02:07:49.917
140,2_4_1_3_5,"[2, 4, 1, 3, 5]",21,43,1,3.24244279,5.919581992017293e-9,2026-06-21T15:48:36.778
141,2_5_5_2_3,"[2, 5, 5, 2, 3]",23,47,1,3.24258064,5.937367402770419e-9,2026-06-20T04:26:32.966
142,2_3_3_2_3,"[2, 3, 3, 2, 3]",19,39,1,3.2426031,5.913665368829914e-9,2026-06-20T03:52:19.243
143,5_5_5_2_4,"[5, 5, 5, 2, 4]",27,55,1,3.24271335,6.081587944417132e-9,2026-06-20T10:48:20.905
144,5_1_4_5_5,"[5, 1, 4, 5, 5]",26,53,1,3.24273687,5.878289610020574e-9,2026-06-21T18:56:50.926
145,5_3_1_2_4,"[5, 3, 1, 2, 4]",21,43,1,3.2427455,5.895950957626036e-9,2026-06-20T09:34:09.598
146,3_3_1_4_5,"[3, 3, 1, 4, 5]",22,45,1,3.24286142,5.961164434716032e-9,2026-06-21T17:05:10.288
147,2_4_4_1_4,"[2, 4, 4, 1, 4]",21,43,1,3.24294463,5.9314330030620284e-9,2026-06-20T09:07:29.462
