rank,combination,n_interior,total_knots,fitness,export_date
393,1_2_2_1_0,"[1, 2, 2, 1, 0]",12,5.82595544,2026-06-04T17:27:40.648
394,0_1_0_2_0,"[0, 1, 0, 2, 0]",9,5.89241597,2026-06-04T17:45:08.689
395,0_2_1_0_2,"[0, 2, 1, 0, 2]",11,5.9134453,2026-06-04T21:31:02.218
396,0_2_0_0_1,"[0, 2, 0, 0, 1]",9,5.91423502,2026-06-04T17:50:07.121
397,0_2_0_0_2,"[0, 2, 0, 0, 2]",10,5.91631425,2026-06-04T21:13:41.497
398,0_2_1_0_1,"[0, 2, 1, 0, 1]",10,5.91721363,2026-06-04T18:04:16.178
399,0_0_0_2_0,"[0, 0, 0, 2, 0]",8,5.9252618,2026-06-04T17:28:26.336
400,0_1_1_0_1,"[0, 1, 1, 0, 1]",9,5.93521543,2026-06-04T17:56:58.668
401,0_1_1_0_2,"[0, 1, 1, 0, 2]",10,5.93724941,2026-06-04T21:13:16.812
402,0_0_1_0_1,"[0, 0, 1, 0, 1]",8,5.9430912,2026-06-04T17:56:44.924
403,0_0_1_0_2,"[0, 0, 1, 0, 2]",9,5.94703506,2026-06-04T21:11:20.240
404,1_1_2_1_0,"[1, 1, 2, 1, 0]",11,5.98858411,2026-06-04T16:15:02.468
405,0_1_0_0_2,"[0, 1, 0, 0, 2]",9,6.02483542,2026-06-04T21:10:00.389
406,2_0_2_1_0,"[2, 0, 2, 1, 0]",11,6.08840693,2026-06-04T16:11:26.676
407,0_1_0_0_1,"[0, 1, 0, 0, 1]",8,6.09696139,2026-06-04T17:58:56.065
408,0_2_2_1_0,"[0, 2, 2, 1, 0]",11,6.28155052,2026-06-04T17:31:46.717
409,1_0_0_0_2,"[1, 0, 0, 0, 2]",9,6.34275958,2026-06-04T21:07:56.268
410,0_0_0_0_2,"[0, 0, 0, 0, 2]",8,6.34472751,2026-06-04T21:09:53.954
411,1_0_0_0_1,"[1, 0, 0, 0, 1]",8,6.85020212,2026-06-04T17:52:15.646
412,0_0_0_0_1,"[0, 0, 0, 0, 1]",7,6.881401,2026-06-04T17:21:49.689
413,0_1_2_1_0,"[0, 1, 2, 1, 0]",10,7.3394827,2026-06-04T16:21:20.141
414,1_2_1_1_0,"[1, 2, 1, 1, 0]",11,7.66243758,2026-06-04T16:12:02.885
415,2_2_1_1_0,"[2, 2, 1, 1, 0]",12,7.76671975,2026-06-04T16:12:38.447
416,2_1_1_1_0,"[2, 1, 1, 1, 0]",11,7.81098187,2026-06-04T16:12:55.042
417,2_0_1_1_0,"[2, 0, 1, 1, 0]",10,7.82045517,2026-06-04T16:11:37.639
418,1_0_2_1_0,"[1, 0, 2, 1, 0]",10,7.86651477,2026-06-04T16:08:21.282
419,0_0_2_1_0,"[0, 0, 2, 1, 0]",9,7.93327554,2026-06-04T16:13:57.480
420,2_2_0_1_0,"[2, 2, 0, 1, 0]",11,7.96018341,2026-06-04T16:09:42.140
421,2_1_0_1_0,"[2, 1, 0, 1, 0]",10,8.15504876,2026-06-04T16:07:45.785
422,1_1_1_1_0,"[1, 1, 1, 1, 0]",10,8.21219509,2026-06-04T16:11:56.685
423,1_2_0_1_0,"[1, 2, 0, 1, 0]",10,8.2964299,2026-06-04T16:09:17.988
424,1_1_0_1_0,"[1, 1, 0, 1, 0]",9,8.34559683,2026-06-04T16:08:14.251
425,2_0_0_1_0,"[2, 0, 0, 1, 0]",9,8.60099167,2026-06-04T16:11:02.526
426,1_0_1_1_0,"[1, 0, 1, 1, 0]",9,8.83908381,2026-06-04T16:12:54.644
427,0_2_0_1_0,"[0, 2, 0, 1, 0]",9,9.13461766,2026-06-04T16:16:11.621
428,0_1_1_1_0,"[0, 1, 1, 1, 0]",9,9.17175127,2026-06-04T16:13:00.635
429,0_0_1_1_0,"[0, 0, 1, 1, 0]",8,9.17446125,2026-06-04T16:11:08.011
430,0_1_0_1_0,"[0, 1, 0, 1, 0]",8,9.90415726,2026-06-04T16:05:50.317
431,2_1_2_0_0,"[2, 1, 2, 0, 0]",11,9.96352704,2026-06-04T16:09:24.675
432,2_2_1_0_0,"[2, 2, 1, 0, 0]",11,9.98065505,2026-06-04T16:16:06.637
433,2_1_1_0_0,"[2, 1, 1, 0, 0]",10,9.98281606,2026-06-04T16:16:53.874
434,2_0_2_0_0,"[2, 0, 2, 0, 0]",10,9.9852248,2026-06-04T16:09:55.464
435,2_0_1_0_0,"[2, 0, 1, 0, 0]",9,9.99154035,2026-06-04T16:15:31.255
436,2_2_0_0_0,"[2, 2, 0, 0, 0]",10,10.0612704,2026-06-04T16:14:22.991
437,1_2_2_0_0,"[1, 2, 2, 0, 0]",11,10.1864392,2026-06-04T16:07:41.435
438,1_2_1_0_0,"[1, 2, 1, 0, 0]",10,10.1950253,2026-06-04T16:18:41.748
439,1_2_0_0_0,"[1, 2, 0, 0, 0]",9,10.20928,2026-06-04T16:17:04.115
440,1_1_2_0_0,"[1, 1, 2, 0, 0]",10,10.2638712,2026-06-04T16:21:13.349
441,2_1_0_0_0,"[2, 1, 0, 0, 0]",9,10.3064661,2026-06-04T16:13:45.640
442,1_1_1_0_0,"[1, 1, 1, 0, 0]",9,10.3125039,2026-06-04T16:13:22.948
443,1_0_0_1_0,"[1, 0, 0, 1, 0]",8,10.5348104,2026-06-04T16:09:53.939
444,0_0_0_1_0,"[0, 0, 0, 1, 0]",7,10.5353277,2026-06-04T15:39:22.357
445,2_0_0_0_0,"[2, 0, 0, 0, 0]",8,10.6635065,2026-06-04T16:21:25.128
446,1_0_2_0_0,"[1, 0, 2, 0, 0]",9,10.8371528,2026-06-04T16:12:47.193
447,0_2_2_0_0,"[0, 2, 2, 0, 0]",10,11.0255096,2026-06-04T16:36:04.732
448,0_2_1_0_0,"[0, 2, 1, 0, 0]",9,11.0600196,2026-06-04T16:21:52.212
449,1_1_0_0_0,"[1, 1, 0, 0, 0]",8,11.1899441,2026-06-04T16:10:46.479
450,1_0_1_0_0,"[1, 0, 1, 0, 0]",8,11.3640416,2026-06-04T16:17:23.709
451,0_1_2_0_0,"[0, 1, 2, 0, 0]",9,11.365849,2026-06-04T16:07:45.438
452,0_1_1_0_0,"[0, 1, 1, 0, 0]",8,11.3736769,2026-06-04T16:13:33.464
453,1_0_0_0_0,"[1, 0, 0, 0, 0]",7,11.3788887,2026-06-04T15:42:55.728
454,0_0_2_0_0,"[0, 0, 2, 0, 0]",8,11.4176228,2026-06-04T16:07:53.272
455,0_0_1_0_0,"[0, 0, 1, 0, 0]",7,11.4741613,2026-06-04T15:42:54.917
456,0_2_0_0_0,"[0, 2, 0, 0, 0]",8,11.5604255,2026-06-04T16:17:45.437
457,0_1_0_0_0,"[0, 1, 0, 0, 0]",7,11.7097414,2026-06-04T15:48:07.419
458,0_0_0_0_0,"[0, 0, 0, 0, 0]",6,11.9892406,2026-06-04T15:49:11.397
459,1_0_1_2_0,"[1, 0, 1, 2, 0]",10,26.5509955,2026-06-04T17:52:52.108
460,0_2_1_2_1,"[0, 2, 1, 2, 1]",12,932.626882,2026-06-04T20:38:08.403
461,3_1_4_4_1,"[3, 1, 4, 4, 1]",19,945.592097,2026-06-05T10:24:59.108
462,1_3_2_2_1,"[1, 3, 2, 2, 1]",15,2121.85661,2026-06-05T09:51:56.659
463,3_3_2_3_1,"[3, 3, 2, 3, 1]",18,2127.22538,2026-06-05T10:03:50.449
464,4_1_2_4_1,"[4, 1, 2, 4, 1]",18,2268.33972,2026-06-05T10:19:08.801
465,4_2_1_4_1,"[4, 2, 1, 4, 1]",18,2377.52193,2026-06-05T10:12:13.521
466,0_2_1_1_0,"[0, 2, 1, 1, 0]",10,3687.75432,2026-06-04T16:17:19.038
467,1_4_1_3_1,"[1, 4, 1, 3, 1]",16,3796.86274,2026-06-05T10:04:18.653
468,1_3_3_2_1,"[1, 3, 3, 2, 1]",16,4114.35839,2026-06-05T09:52:27.124
469,2_2_2_0_0,"[2, 2, 2, 0, 0]",12,5440.76819,2026-06-04T16:18:39.674
470,2_2_0_0_1,"[2, 2, 0, 0, 1]",11,5602.11602,2026-06-04T18:12:25.015
